Scenario,Seed,Sweep,Value,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
real_moe_uav,4,scheduling_lambda,0.4,5938.846921,269,49,51.483628,0.027214,84.789934,12.170396,True
real_moe_uav,4,remote_eta,0,3777.302698,373,49,51.483628,0.051404,32.363911,10.533624,True
real_moe_uav,4,remote_eta,0.25,3792.562695,384,49,51.483628,0.051327,32.402480,10.876632,True
real_moe_uav,4,remote_eta,0.5,3792.542645,384,49,51.483628,0.050826,32.402480,10.876632,True
real_moe_uav,4,remote_eta,0.75,3792.578661,385,49,51.483628,0.051726,32.402480,10.876632,True
real_moe_uav,4,remote_eta,1,3774.798046,388,49,51.483628,0.051643,31.958048,10.876632,True
real_moe_uav,4,placement_profile,default,3792.542645,384,49,51.483628,0.050826,32.402480,10.876632,True
real_moe_uav,4,placement_profile,demand_heavy,3574.827060,374,49,51.483628,0.050765,25.355965,12.480318,True
real_moe_uav,4,placement_profile,compute_heavy,3755.710561,383,49,51.483628,0.052880,31.824502,10.531754,True
real_moe_uav,4,placement_profile,network_heavy,3574.827060,374,49,51.483628,0.050765,25.355965,12.480318,True
real_moe_uav,4,placement_profile,memory_heavy,3574.148004,374,49,51.483628,0.050674,25.339080,12.480318,True
